Project Name,AI Agent,Check Category,Check ID,Check Description,Result,Comments
Test urban pole sub ,COLUMN,Validation of Column COLUMN,7,Check the Fuctional Location Numbers against the design drawing omitting all the letters and numbers before the first digit i.e. CLMN00165863 would only be shown as 165863 in the design.,Pass,0 entries failed. 
Test urban pole sub ,DSUB_POLE,Scan Spread Sheet ,1,"Scan Transformer tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'DSUB (POLE)' tab contains data. Proceeding with related checks.
Test urban pole sub ,DSUB_POLE,"Validation of  Column ""DSUB(POLE)""",2,Check the Fuctional Location Numbers against the design drawing omitting all the letters and numbers before the first digit ie DSUB00165863 would only be shown as 165863 in the design.,Pass,
Test urban pole sub ,DSUB_POLE,"Validation of column ""DSUB (POLE)"" - Equipment Owner",3,Check to see if Equipment Owner has been filled.,Fail,0 entries failed. Missing values found in the following headers: {'Equipment Owner': []}
Test urban pole sub ,DSUB_POLE,"Validation of ""DSUB (POLE)"" - Surge Diverter Characteristics",4,Cubicle: Check and see that the EQ Reference Equipment Desc and EQ Technical Object Type has been filled,Fail,"0 entries failed. Missing values found in the following headers: {'EQ Reference Equipment Desc': [], 'EQ Technical Object Type': []}"
Test urban pole sub ,DSUB_POLE,"Validation of ""Substations"" columns - Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location",5,"Check that Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location, has been filled",Fail,"0 entries failed. Missing values found in the following headers: {'Superior Functional Location': [], 'FLOC Construction Type': [], 'FLOC Technical Object Type': [], 'Location': []}"
Test urban pole sub ,DSUB_POLE,"Validation of ""Substations"" column - Superior Function Location",7,For Pole Substations Superior Function needs to be the pole number ie POLEXXXXXXXX,Pass,0 entries failed. 
Test urban pole sub ,PILLAR,Scan Spread Sheet ,1,"Scan Pillar tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'PILLAR' tab contains data. Proceeding with related checks.
Test urban pole sub ,PILLAR,"Validation of ""Pillar"" - Assembly Number detail",2,"Ensure each assembly number has a Functional Location, Reference Functional Location, Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location, Equipment Owner, EQ Reference Equipment Desc, EQ Technical Object Type",Pass,0 entries failed. 
Test urban pole sub ,PILLAR,"Validation of ""Pillar"" - Assembly Number detail",3,Ensure that the Superior Function Location matches the Functional Location in the top tab,Pass,0 entries failed. 
Test urban pole sub ,PILLAR,"Validation of ""PILLAR"" - Equipment Characteristics detail",4,"Check the EQ Reference Equipment Desc, EQ Technical Object Type has been filled as per the guidelines.",Pass,0 entries failed. 
Test urban pole sub ,PILLAR,"Validation of ""PILLAR"" column - Superior Function Location",5,For Pole Substations Superior Function needs to be the pole number ie POLEXXXXXXXX,Pass,0 entries failed. 
Test urban pole sub ,PILLAR,"Validation of Column ""PILLAR"" - PILLAR Numbers",6,Check the Fuctional Location Numbers against the design drawing omitting all the letters and numbers before the first digit ie PILL00165863 would only be shown as 165863 in the design.,Pass,
Test urban pole sub ,DD_DB,Notes-Field Checks,16,Ensure the following notes are present and must be a - HAVE ALL EXISTING ASSETS BEEN FIELD CHECKED AND ARE ACCURATE AT THE TIME OF DRAWING- YES,Fail,Not found
Test urban pole sub ,TRANSFORMER,Scan Spread Sheet ,1,"Scan Transformer tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'TRANSFORMER' tab contains data. Proceeding with related checks.
Test urban pole sub ,TRANSFORMER,Superior Function Location - TRANFORMERS,2,Check that the Superior function location  which needs to be the substation number ie DSUBXXXXXXXX.,Pass,0 entries failed. 
Test urban pole sub ,TRANSFORMER,"Validation of  Column ""TRANSFORMERS"" - Superior Functional Location",3,Check and ensure the Superior Function Location is correct DSUBXXXXXX by checking against drawing,Pass,
Test urban pole sub ,TRANSFORMER,"Validation of ""TRANSFORMERS"" column - FLOC Construction",4,"Check and ensure the FLOC Construction Type is correct. For Pole Mounted Substations its ""Gen, PL Mounted Trf"" for Groung Substations its ""Gen, PL Mounted Trf"". If DSUM (GRND) tab has data it means it is Ground substation and then EQ Equipment Equipment Desc is Gen, Padmount Transformer. The same relation for DSUB (POLE) tab and Pole Substation.",Fail,2 entries failed. Neither DSUB GND or DSUB POLE. ID:DSTX10004690. Value:nan Neither DSUB GND or DSUB POLE. ID:DSTX10005670. Value:nan 
Test urban pole sub ,TRANSFORMER,"Validation of ""TRANSFORMERS"" column - EQ Equipment Equipment Desc",6,"If DSUM (GRND) tab has data it means it is Ground substation and then EQ Equipment Equipment Desc is Gen, Padmount Transformer. The same relation for DSUB (POLE) tab and Pole Substation.",Fail,2 entries failed. Neither DSUB GND or DSUB POLE. ID:DSTX10004690. Value:nan Neither DSUB GND or DSUB POLE. ID:DSTX10005670. Value:nan 
Test urban pole sub ,TRANSFORMER,"Validation of ""TRANSFORMERS"" - Equipment Characteristics",7,"Check the EQ Reference Equipment Desc, EQ Technical Object Type has been filled. ",Fail,"0 entries failed. Missing values found in the following headers: {'EQ Reference Equipment Desc': [], 'EQ Technical Object Type': []}"
Test urban pole sub ,TRANSFORMER,"Validation of ""TRANSFORMERS"" columns - FLOC, Technical Object, Location",8,"Check to see a.Superior Functional Location,b.FLOC Construction Type, c.FLOC Technical Object , d.Location, has been filled.",Fail,"0 entries failed. Missing values found in the following headers: {'Superior Functional Location': [], 'FLOC Construction Type': [], 'FLOC Technical Object Type': [], 'Location': []}"
