Project Name,AI Agent,Check Category,Check ID,Check Description,Result,Comments
Test urban pole sub ,SWITCHGEAR,Scan Spread Sheet ,1,"Scan Transformer tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'SWITCHGEAR' tab contains data. Proceeding with related checks.
Test urban pole sub ,SWITCHGEAR,"Validation of Column ""SWITCHGEAR"" - Switchgear Numbers",2,Check the Fuctional Location Numbers against the design drawing omitting all the letters and numbers before the first digit ie LVDG00165863 or  HVDG00165863 would only be shown as 165863 in the design.,Warning,FLOC numbers not found in Design Drawing: 4011
Test urban pole sub ,SWITCHGEAR,"Validation of Column ""SWITCHGEAR"" - BUSBAR",3,Check the Fuctional Location Numbers against the design drawing omitting all the letters and numbers before the first digit ie LVDG00165863 or  HVDG00165863 would only be shown as 165863 in the design.,Warning,"FLOC numbers not found in Design Drawing: 38807, 37769, 20874"
Test urban pole sub ,SWITCHGEAR,"Validation of Column ""SWITCHGEAR"" - CIRCUIT BREAKER",4,Check the Fuctional Location Numbers against the design drawing omitting all the letters and numbers before the first digit ie LVDG00165863 or  HVDG00165863 would only be shown as 165863 in the design.,Warning,Sub Switchgear - Functional Location is blank
Test urban pole sub ,SWITCHGEAR,"Validation of Column ""SWITCHGEAR""-  FLOC",5,"Check that Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location, has been filled",Fail,"5 entries failed. Missing values found in the following headers: {'Sub Switchgear - Superior Functional Location': ['LVDG00002889 - nan', 'HVDG00004011 - nan'], 'Sub Switchgear - FLOC Construction Type': ['LVDG00002889 - nan', 'HVDG00004011 - nan', 'BBLV00038971 - nan', 'BBLV00038807 - nan', 'BBHV00020874 - nan'], 'Sub Switchgear - FLOC Technical Object Type': ['LVDG00002889 - nan', 'HVDG00004011 - nan', 'BBLV00038971 - nan', 'BBLV00038807 - nan', 'BBHV00020874 - nan'], 'Sub Switchgear - Location': ['LVDG00002889 - nan', 'HVDG00004011 - nan']}"
Test urban pole sub ,SWITCHGEAR,"Validation of ""SWITCHGEAR"" column - Superior Function Location",6,For Pole Substations Superior Function needs to be the pole number ie POLEXXXXXXXX,Pass,0 entries failed. 
Test urban pole sub ,SWITCHGEAR,"Validation of Column ""SWITCHGEAR"" - EQ",7,Check to see if Equipment Owner has been filled.,Fail,"5 entries failed. Missing values found in the following headers: {'Sub Switchgear - Equipment Owner': ['LVDG00002889 - nan', 'HVDG00004011 - nan', 'BBLV00038971 - nan', 'BBLV00038807 - nan', 'BBHV00020874 - nan']}"
Test urban pole sub ,SWITCHGEAR,"Validation of Column ""SWITCHGEAR"" - EQ",8,Check and see that the EQ Reference Equipment Desc and EQ Technical Object Type has been filled,Fail,"4 entries failed. Missing values found in the following headers: {'Equipment Characteristics - EQ Reference Equipment Desc': ['HVDG00004011 - nan', 'BBLV00038971 - nan', 'BBLV00038807 - nan', 'BBHV00020874 - nan'], 'Equipment Characteristics - EQ Technical Object Type': ['HVDG00004011 - nan', 'BBLV00038971 - nan', 'BBLV00038807 - nan', 'BBHV00020874 - nan']}"
Test urban pole sub ,COLUMN,Validation of Column COLUMN,7,Check the Fuctional Location Numbers against the design drawing omitting all the letters and numbers before the first digit i.e. CLMN00165863 would only be shown as 165863 in the design.,Fail,"13 entries failed. 2002180,2002181,2002182,2002183,2002184,2002185,2002186,2002187,2002188,2002189,2002190,2002191,2002193"
Test urban pole sub ,DSUB_POLE,Scan Spread Sheet ,1,"Scan Transformer tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'DSUB (POLE)' tab contains data. Proceeding with related checks.
Test urban pole sub ,DSUB_POLE,"Validation of  Column ""DSUB(POLE)""",2,Check the Fuctional Location Numbers against the design drawing omitting all the letters and numbers before the first digit ie DSUB00165863 would only be shown as 165863 in the design.,Warning,FLOC numbers not found in Design Drawing: 97168
Test urban pole sub ,DSUB_POLE,"Validation of column ""DSUB (POLE)"" - Equipment Owner",3,Check to see if Equipment Owner has been filled.,Fail,1 entries failed. Missing values found in the following headers: {'Equipment Owner': ['DSUB00097168 - nan']}
Test urban pole sub ,DSUB_POLE,"Validation of ""DSUB (POLE)"" - Surge Diverter Characteristics",4,Cubicle: Check and see that the EQ Reference Equipment Desc and EQ Technical Object Type has been filled,Fail,"1 entries failed. Missing values found in the following headers: {'EQ Reference Equipment Desc': ['DSUB00097168 - nan'], 'EQ Technical Object Type': ['DSUB00097168 - nan']}"
Test urban pole sub ,DSUB_POLE,"Validation of ""Substations"" columns - Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location",5,"Check that Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location, has been filled",Fail,"1 entries failed. Missing values found in the following headers: {'Superior Functional Location': ['DSUB00097168 - nan'], 'FLOC Construction Type': ['DSUB00097168 - nan'], 'FLOC Technical Object Type': ['DSUB00097168 - nan'], 'Location': ['DSUB00097168 - nan']}"
Test urban pole sub ,DSUB_POLE,"Validation of ""Substations"" column - Superior Function Location",7,For Pole Substations Superior Function needs to be the pole number ie POLEXXXXXXXX,Pass,0 entries failed. 
Test urban pole sub ,PILLAR,Scan Spread Sheet ,1,"Scan Transformer tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'PILLAR' tab contains data. Proceeding with related checks.
Test urban pole sub ,PILLAR,"Validation of ""Pillar"" - Assembly Number detail",2,"Ensure each assembly number has a Functional Location, Reference Functional Location, Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location, Equipment Owner, EQ Reference Equipment Desc, EQ Technical Object Type",Pass,0 entries failed. 
Test urban pole sub ,PILLAR,"Validation of ""Pillar"" - Assembly Number detail",3,Ensure that the Superior Function Location matches the Functional Location in the top tab,Pass,0 entries failed. 
Test urban pole sub ,PILLAR,"Validation of ""PILLAR"" - Equipment Characteristics detail",4,"Check the EQ Reference Equipment Desc, EQ Technical Object Type has been filled as per the guidelines.",Pass,0 entries failed. 
Test urban pole sub ,PILLAR,"Validation of ""PILLAR"" column - Superior Function Location",5,For Pole Substations Superior Function needs to be the pole number ie POLEXXXXXXXX,Pass,0 entries failed. 
Test urban pole sub ,PILLAR,"Validation of Column ""PILLAR"" - PILLAR Numbers",6,Check the Fuctional Location Numbers against the design drawing omitting all the letters and numbers before the first digit ie PILL00165863 would only be shown as 165863 in the design.,Pass,
Test urban pole sub ,DD_DB,Notes-Field Checks,16,Ensure the following notes are present and must be a - HAVE ALL EXISTING ASSETS BEEN FIELD CHECKED AND ARE ACCURATE AT THE TIME OF DRAWING- YES,Pass,
Test urban pole sub ,TRANSFORMER,Scan Spread Sheet ,1,"Scan Transformer tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'TRANSFORMER' tab contains data. Proceeding with related checks.
Test urban pole sub ,TRANSFORMER,Superior Function Location - TRANFORMERS,2,Check that the Superior function location  which needs to be the substation number ie DSUBXXXXXXXX.,Pass,0 entries failed. 
Test urban pole sub ,TRANSFORMER,"Validation of  Column ""TRANSFORMERS"" - Superior Functional Location",3,Check and ensure the Superior Function Location is correct DSUBXXXXXX by checking against drawing,Pass,
Test urban pole sub ,TRANSFORMER,"Validation of ""TRANSFORMERS"" column - FLOC Construction",4,"Check and ensure the FLOC Construction Type is correct. For Pole Mounted Substations its ""Gen, PL Mounted Trf"" for Groung Substations its ""Gen, PL Mounted Trf"". If DSUM (GRND) tab has data it means it is Ground substation and then EQ Equipment Equipment Desc is Gen, Padmount Transformer. The same relation for DSUB (POLE) tab and Pole Substation.",Fail,2 entries failed. Neither DSUB GND or DSUB POLE. ID:DSTX10004690. Value:nan Neither DSUB GND or DSUB POLE. ID:DSTX10005670. Value:nan 
Test urban pole sub ,TRANSFORMER,"Validation of ""TRANSFORMERS"" column - EQ Equipment Equipment Desc",6,"If DSUM (GRND) tab has data it means it is Ground substation and then EQ Equipment Equipment Desc is Gen, Padmount Transformer. The same relation for DSUB (POLE) tab and Pole Substation.",Fail,2 entries failed. Neither DSUB GND or DSUB POLE. ID:DSTX10004690. Value:nan Neither DSUB GND or DSUB POLE. ID:DSTX10005670. Value:nan 
