Project Name,AI Agent,Check Category,Check ID,Check Description,Result,Comments
ARP5495 resubmission of 25,COLUMN,Validation of Column COLUMN,7,Check the Fuctional Location Numbers against the design drawing omitting all the letters and numbers before the first digit i.e. CLMN00165863 would only be shown as 165863 in the design.,Pass,0 entries failed. 
ARP5495 resubmission of 25,PILLAR,Scan Spread Sheet ,1,"Scan Pillar tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The data in the 'PILLAR' tab does not exist.
ARP5495 resubmission of 25,DD_DB,Notes-Field Checks,16,Ensure the following notes are present and must be a - HAVE ALL EXISTING ASSETS BEEN FIELD CHECKED AND ARE ACCURATE AT THE TIME OF DRAWING- YES,Fail,Not found
ARP5495 resubmission of 25,DD_DB,Compare supply requirments in Design Brief against Design Drawing,3,Search for the method of supply requirements from the Design Brief in the Design Drawing and list any missing scope in the Design Drawing.,Fail,Supply Requirements in Design Brief file are missing
ARP5495 resubmission of 25,DD_DB,Method of Supply requirements in Design Brief,1,"Extract the supply requirements from the Design Brief, including HV, LV, SL, Earthing, Easements, and any substation requirements.",Fail,Supply Requirements in Design Brief file are missing
ARP5495 resubmission of 25,DD_DB,Compare supply funding arrangements in Design Brief against Design Drawing,4,Search for the funding arrangement outlined in the Design Brief within the Design Drawing and list any missing scope from the Design Drawing,Fail,Funding Requirements in Design Brief file are missing
ARP5495 resubmission of 25,DD_DB,Funding arrangement  in Design Brief,2,"Extract the determination of funding requirements from the Design Brief, including all items listed under this section.",Fail,Funding Requirements in Design Brief file are missing
ARP5495 resubmission of 25,DD_DB,Check Isolations,28,Check isolations points.,Info,Isolation points found
ARP5495 resubmission of 25,DSUB_POLE,Scan Spread Sheet ,1,"Scan Transformer tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The data in the 'DSUB (POLE)' tab does not exist.
ARP5495 resubmission of 25,DD_DB,AI to Determine from TAL the Type of Substaion Prior to Performing Checks,30,"Substation types are classified as Ground or Pole based on the data available in the DSUB. If data is present in any of the tabs, the substation type is determined to be either Ground or Pole.",Info,Type of Substaion is Not define
ARP5495 resubmission of 25,SWITCHGEAR,Scan Spread Sheet ,1,"Scan Switchgear tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The data in the 'SWITCHGEAR' tab does not exist.
ARP5495 resubmission of 25,COLUMN,Scan Spread Sheet ,1,"Scan Column tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'COLUMN' tab contains data. Proceeding with related checks.
ARP5495 resubmission of 25,COLUMN,Validation of Assembly Number detail,2,"Ensure each assembly number has a Functional Location, Reference Functional Location, Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location, Equipment Owner, EQ Reference Equipment Desc, EQ Technical Object Type",Fail,"0 entries failed. Missing values found in the following headers: {'Assembly - EQ Reference Equipment Desc': [], 'Assembly - EQ Technical Object Type': []}"
ARP5495 resubmission of 25,COLUMN,"Validation of ""Column"" - Assembly Number detail",3,Ensure that the Superior Function Location matches the Functional Location in the top tab,Pass,0 entries failed. 
ARP5495 resubmission of 25,COLUMN,"Validation of ""COLUMN"" columns - FLOC, Technical Object, Location",4,"Check to see FLOC Construction Type,Technical Object , Location, Equipment Owner has been filled .",Pass,0 entries failed. 
ARP5495 resubmission of 25,COLUMN,"Validation of ""COLUMN"" - Equipment Characteristics detail",5,"Check the EQ Reference Equipment Desc, EQ Technical Object Type has been filled as per the guidelines.",Fail,"1 entries failed. Missing values found in the following headers: {'Columns - Streetlight Tariff Class': ['CLMN02013090 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 10, dtype: object']}"
ARP5495 resubmission of 25,COLUMN,"Validation of ""COLUMN"" column - Superior Function Location",6,For Pole Substations Superior Function needs to be the pole number ie POLEXXXXXXXX,Pass,0 entries failed. 
ARP5495 resubmission of 25,HV_LV_SWITCHES,Scan Spread Sheet ,1,"Scan HV/LV Switches tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'HV_LV Switches' tab contains data. Proceeding with related checks.
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -Location & Equipment Owner",3,Check that the location and Equipment Owner has been selected.,Pass,0 entries failed. 
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -Superior Functional Location check for HV Switches:",15,Check and ensure the Superior Function Location has the correct HV SWITCHGEAR number ie HVDGXXXXXXXX or SWITXXXXXXXX.,Pass,0 entries failed. 
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -FLOC Construction check for HV Switches:",16,"Check and ensure the FLOC Construction Type is correct. For earth switches its ""Gen, Earth Switch - Dist"" for  all other swicthes its Gen, ""HV Switch/Fuse Unit"".",Pass,0 entries failed. 
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -Location & Equipment Owner",17,Check and ensure the Location is the relevant depot,Fail,Location Windsor Field Service Centre is missing in DD
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -Location & Equipment Owner",18,Check Equipment owner is Endeavour Energy.,Pass,
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -Superior Functional Location check for LV Switches:",22,Check and ensure the Superior Function Location has the correct LV SWITCHGEAR number ie LVDGXXXXXXXX,Pass,0 entries failed. 
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -FLOC Construction check for LV Switches:",24,"Check and ensure the FLOC Construction Type is correct. For switches with DSSWXXXXXXXX it should be ""Gen, Isol/Disc - LV - GD"" for other switches ie SWITXXXXXXX it should be ""Gen, Switch Fuse - LV""",Pass,0 entries failed.
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -PM  (GND) Substations -Location & Equipment Owner Checks for LV Switches:",25,Check and ensure the Location is the relevant depot,Fail,Location value in the TAL is missing
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -PM  (GND) Substations -Location & Equipment Owner Checks for LV Switches:",26,Check and ensure the Equipment owner is Endeavour Energy,Pass,
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -PM  (GND) Substations -Equipment Characteristics check for LV Switches:",27,"Check and ensure that the EQ Equipment Description is slected correctly. For switches with prefix SWITXXXXXXXX its ""Gen, Switch Fuse - LV"",for switches with prefix DSSWXXXXXXXX its ""Gen, Isol/Disc - LV - GD""",Pass,0 entries failed.
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -All other HV & LV Switches:Superior Functional Location check for HV& LV Switches:",28,"Check and ensure the Superior Function Location has the correct reference, ie PILLXXXXXXXX or POLEXXXXXXX.",Pass,0 entries failed. 
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -All other HV & LV Switches -Location & Equipment Owner checks",29,Check and ensure the Location is the relevant depot,Fail,Location Windsor Field Service Centre is missing in DD
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -All other HV & LV Switches -Location & Equipment Owner checks",30,Check and ensure the Equipment owner is Endeavour Energy,Pass,
ARP5495 resubmission of 25,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -All other HV & LV Switches -Equipment Characteristics checks:",31,Check and ensure that the EQ Equipment Description is selected correctly. This needs to be the same as superior function location.,Pass,0 entries failed. 
ARP5495 resubmission of 25,POLE,Scan Spread Sheet ,1,"Scan POLE tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'POLE' tab contains data. Proceeding with related checks.
ARP5495 resubmission of 25,POLE,"Validation of ""POLE"" column - Special Use Code",4,Check to see the Special Use Code has been filled.,Fail,0 entries failed. Missing values found in the following headers: {'POLE - Special Use Code': []}
ARP5495 resubmission of 25,POLE,"Validation of ""POLE"" - Equipment Characteristics detail",5,"Check the EQ Reference Equipment Desc, EQ Technical Object Type has been filled as per the guidelines.",Pass,0 entries failed. 
ARP5495 resubmission of 25,POLE,"Validation of ""POLE"" - Assembly Number detail",6,"Ensure each assembly number has a Functional Location, Reference Functional Location, Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location, Equipment Owner, EQ Reference Equipment Desc, EQ Technical Object Type",Fail,"0 entries failed. Missing values found in the following headers: {'Assembly - EQ Reference Equipment Desc': [], 'Assembly - EQ Technical Object Type': []}"
ARP5495 resubmission of 25,POLE,"Validation of ""POLE"" - Assembly Number detail",7,Ensure that the Superior Function Location matches the Functional Location in the top tab,Pass,0 entries failed. 
ARP5495 resubmission of 25,POLE,"Validation of ""POLE"" columns - Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location",9,"Check that FLOC Construction Type, FLOC Technical Object Type, Location, has been filled",Pass,0 entries failed. 
ARP5495 resubmission of 25,POLE,Validation of FLOC Construction Type,13,"FLOC Construction Type needs to match the correct type of Pole substation ie Urban,Rural,Semi-Rural, Coastal as per the design.",Fail,ID: 1011310. Expected construction in design drawing but not found. ID: 1011312. Expected construction in design drawing but not found. 
ARP5495 resubmission of 25,TRANSFORMER,Scan Spread Sheet ,1,"Scan Transformer tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The data in the 'TRANSFORMER' tab does not exist.
ARP5495 resubmission of 25,DD_DB,Notes-Field Checks,17,"For projects involving padmounted substation easements the following notes are required""AN EASEMENT FOR PADMOUNT SUBSTATION MINIMUM xxm x xxm IS TO BE CREATED IN FAVOUR OF ENDEAVOUR ENERGY WITHIN PROPOSED LOT XXXX.",Pass,Check not needed. No Padmount Substation Easement in design drawing
ARP5495 resubmission of 25,POLE,"Validation of  Functional Location of ""POLE""",3,Check the Fuctional Location Numbers against the Design Drawing omitting all the letters and numbers before the first digit ie POLE00165863 would only be shown as 165863 in the design.,Pass,0 entries failed. 
ARP5495 resubmission of 25,POLE,Reading asset numbers-POLE SCHEDULE TABLE,12,AI to read the asset numbers for new poles in the POLE SCHEDULE TABLE is consistent with TAL and the rest of design drawing.,Pass,0 entries failed. 1 additional number(s) found in Design Drawing: 426131. 
ARP5495 resubmission of 25,DD_DB,Notes-Field Checks,18,"For projects involving padmounted substation easements the following notes are required - A RESTRICTION ON THE USE OF LAND, IN RELATION TO THE FIRE RATING OF BUILDING,MEASURED 3m FROM THE SUBSTATION PLINTH, IS TO BE CREATED IN FAVOUR OF ENDEAVOUR ENERGY WITHIN PROPOSED LOT xxx.",Pass,Check not needed. No Padmount Substation Easement in design drawing
ARP5495 resubmission of 25,SLCP,Scan Spread Sheet ,1,"Scan SLCP tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'SLCP' tab contains data. Proceeding with related checks.
ARP5495 resubmission of 25,SLCP,"Validation of ""SLCP"" - Equipment Characteristics detail",2,"Check the EQ Reference Equipment Desc, EQ Technical Object Type has been filled as per the guidelines.",Pass,0 entries failed. 
ARP5495 resubmission of 25,SLCP,"Validation of ""SLCP"" columns - Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location",3,"Check that Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location, has been filled",Pass,0 entries failed. 
ARP5495 resubmission of 25,SLCP,"Validation of ""SLCP"" column - Superior Function Location",4,For Pole Substations Superior Function needs to be the pole number ie POLEXXXXXXXX,Pass,0 entries failed. 
ARP5495 resubmission of 25,STREETLIGHT,Scan Spread Sheet ,1,"Scan STREETLIGHT tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'STREETLIGHT' tab contains data. Proceeding with related checks.
ARP5495 resubmission of 25,STREETLIGHT,"Validation of ""STREETLIGHT"" - Equipment Characteristics detail",2,"Check the EQ Reference Equipment Desc, EQ Technical Object Type, Streetlight Vertical Support, Streetlight Tariff Class,Streetlight Tariff Rate, has been filled as per the guidelines.",Fail,0 entries failed. Missing values found in the following headers: {'Bracket/Outreach Characteristics - Streetlight Horizontal Support': []}
ARP5495 resubmission of 25,STREETLIGHT,"Validation of Column ""STREETLIGHT"" - Switchgear Numbers",3,Check the Fuctional Location Numbers against the design drawing omitting all the letters and numbers before the first digit ie PILL00165863 would only be shown as 165863 in the design.,Pass,
ARP5495 resubmission of 25,STREETLIGHT,"Validation of ""STREETLIGHT"" columns - Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location",4,"Check that Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location, has been filled",Fail,"0 entries failed. Missing values found in the following headers: {'FLOC Construction Type': [], 'FLOC Technical Object Type': []}"
ARP5495 resubmission of 25,STREETLIGHT,Validation of -Streetlight Characteristics detail,6,"Check the Billing Customer,Equipment Owner, Streetlight Luminaire, Streetlight Tariff Class,Streetlight Tariff Rate has been filled as per the guidelines.",Fail,0 entries failed. Missing values found in the following headers: {'Billing Customer': []}
ARP5495 resubmission of 25,STREETLIGHT,"Validation of ""STREETLIGHT"" - Bracket/Outreach Characteristics",7,"Check the EQ Reference Equipment Desc, EQ Technical Object Type has been filled as per the guidelines.",Pass,0 entries failed. 
ARP5495 resubmission of 25,STREETLIGHT,"Validation of ""STREETLIGHT"" - Lantern Characteristics",8,"Check the EQ Reference Equipment Desc, EQ Technical Object Type has been filled as per the guidelines.",Pass,0 entries failed. 
ARP5495 resubmission of 25,DD_DB,Design Compliance & Indemnity Sticker-Correct,20,Check if the correct DESIGN COMPLIANCE & INDEMNITY STICKER has been used compare this against EE's DESIGN COMPLIANCE & INDEMNITY SRTICKER.,Fail,
ARP5495 resubmission of 25,DD_DB,Design Compliance & Indemnity Sticker-Name,21,Check if L3 ASP Designers name is on the Check Design Compliance & Indemnity Sticker,Pass,
ARP5495 resubmission of 25,DSUB_GRND,Scan Spread Sheet ,1,"Scan Transformer tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The data in the 'DSUB (GRND)' tab does not exist.
